filename,file_size_bytes,page_count,load_error,pages_with_native_text,pages_without_native_text,total_characters,total_words,text_coverage,document_class,doc_class_confidence,payable_status,payable_confidence,scripts_detected,language_hints,currency_candidates,invoice_number_candidates,date_candidates,po_number_candidates,has_line_items,has_quantity,has_unit_price,has_subtotal,has_discount,has_charges,has_tax,has_withholding,has_total,is_multi_page,requires_segmentation,multi_currency_pages
DU-02.pdf,2925903,20,,0,20,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False
DU-03.pdf,1964123,12,,0,12,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False
DU-05.pdf,111731,1,,0,1,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
DU-05s.pdf,1369438,15,,0,15,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False
DU-06.pdf,329348,2,,0,2,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False
DU-08.pdf,158134,1,,0,1,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
DU-09.pdf,291154,2,,0,2,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,True,False,False
DU-10.pdf,118667,1,,0,1,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
DU-11.pdf,87449,1,,0,1,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
HLD-01.pdf,134943,1,,0,1,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
HLD-03.pdf,120168,1,,0,1,0,0,0.0,unknown,0.1,likely_non_payable,0.5,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False
